,1,0,1.1,1000,24
0,1,26,1.0,1000,
1,1,27,1.0,1000,
2,1,30,1.0,1000,
3,1,31,1.0,1000,
4,1,32,1.0,1000,
5,1,33,1.0,1000,
6,1,34,1.0,1000,
7,1,35,1.0,1000,
8,1,36,1.0,1000,
9,1,37,1.0,1000,
10,1,38,1.0,1000,
11,1,39,1.0,1000,
12,1,40,1.0,1000,
13,1,41,1.0,1000,
14,1,42,1.0,1000,
15,1,43,1.0,1000,
16,1,44,1.0,1000,
17,1,45,1.0,1000,
18,1,46,1.0,1000,
19,1,47,1.0,1000,
20,1,48,1.0,1000,
21,1,49,1.0,1000,
22,1,50,1.0,1000,
23,1,51,1.0,1000,
24,1,52,1.0,1000,
25,1,53,1.0,1000,
26,1,54,1.0,1000,
27,1,55,1.0,1000,
28,1,56,1.0,1000,
29,2,45,1.0,1000,
30,2,57,1.0,1000,
31,2,58,1.0,1000,
32,2,59,1.0,1000,
33,2,60,1.0,1000,
34,2,61,1.0,1000,
35,2,62,1.0,1000,
36,2,63,1.0,1000,
37,2,64,1.0,1000,
38,2,65,1.0,1000,
39,2,66,1.0,1000,
40,2,67,1.0,1000,
41,2,68,1.0,1000,
42,2,69,1.0,1000,
43,2,70,1.0,1000,
44,2,71,1.0,1000,
45,2,72,1.0,1000,
46,2,73,1.0,1000,
47,2,74,1.0,1000,
48,2,75,1.0,1000,
49,2,76,1.0,1000,
50,2,77,1.0,1000,
51,2,78,1.0,1000,
52,2,79,1.0,1000,
53,3,0,1.0,1000,
54,3,5,1.0,1000,
55,3,12,1.0,1000,
56,3,14,1.0,1000,
57,3,55,1.0,1000,
58,3,63,1.0,1000,
59,3,80,1.0,1000,
60,3,81,1.0,1000,
61,3,82,1.0,1000,
62,3,83,1.0,1000,
63,3,84,1.0,1000,
64,3,85,1.0,1000,
65,3,86,1.0,1000,
66,3,87,1.0,1000,
67,3,88,1.0,1000,
68,3,89,1.0,1000,
69,3,90,1.0,1000,
70,3,91,1.0,1000,
71,3,92,1.0,1000,
