,1,2,1.1,1000,0,10
0,1,21.0,1.0,1000,,
1,1,22.0,1.0,1000,,
2,1,23.0,1.0,1000,,
3,1,24.0,1.0,1000,,
4,1,25.0,1.0,1000,,
5,1,26.0,1.0,1000,,
6,1,27.0,1.0,1000,,
7,1,28.0,1.0,1000,,
8,2,32.0,1.0,1000,,
9,2,33.0,1.0,1000,,
10,2,34.0,1.0,1000,,
11,2,35.0,1.0,1000,,
12,2,36.0,1.0,1000,,
13,2,37.0,1.0,1000,,
14,2,38.0,1.0,1000,,
15,2,27.0,1.0,1000,,
16,2,29.0,1.0,1000,,
17,2,30.0,1.0,1000,,
18,2,31.0,1.0,1000,,
19,4,8.0,1.0,1000,,
20,4,44.0,1.0,1000,,
21,4,45.0,1.0,1000,,
22,4,46.0,1.0,1000,,
23,4,47.0,1.0,1000,,
24,4,48.0,1.0,1000,,
25,4,49.0,1.0,1000,,
26,4,50.0,1.0,1000,,
27,4,51.0,1.0,1000,,
28,4,14.0,1.0,1000,,
29,4,52.0,1.0,1000,,
30,4,53.0,1.0,1000,,
31,4,54.0,1.0,1000,,
32,4,55.0,1.0,1000,,
33,4,25.0,1.0,1000,,
34,4,56.0,1.0,1000,,
35,5,10.0,1.0,1000,,
36,5,27.0,1.0,1000,,
37,5,42.0,1.0,1000,,
38,5,43.0,1.0,1000,,
39,5,57.0,1.0,1000,,
40,5,58.0,1.0,1000,,
41,5,59.0,1.0,1000,,
42,5,60.0,1.0,1000,,
43,5,61.0,1.0,1000,,
44,5,62.0,1.0,1000,,
45,5,63.0,1.0,1000,,
46,5,64.0,1.0,1000,,
47,5,65.0,1.0,1000,,
48,5,66.0,1.0,1000,,
49,5,67.0,1.0,1000,,
50,5,68.0,1.0,1000,,
51,5,69.0,1.0,1000,,
52,5,70.0,1.0,1000,,
53,5,71.0,1.0,1000,,
54,5,72.0,1.0,1000,,
55,5,73.0,1.0,1000,,
56,5,74.0,1.0,1000,,
57,6,42.0,1.0,1000,,
58,6,75.0,1.0,1000,,
59,6,76.0,1.0,1000,,
60,6,77.0,1.0,1000,,
61,6,78.0,1.0,1000,,
62,6,43.0,1.0,1000,,
63,6,79.0,1.0,1000,,
64,6,80.0,1.0,1000,,
65,7,3.0,1.0,1000,,
66,7,7.0,1.0,1000,,
67,7,10.0,1.0,1000,,
68,7,16.0,1.0,1000,,
69,7,27.0,1.0,1000,,
70,7,48.0,1.0,1000,,
71,7,52.0,1.0,1000,,
72,7,81.0,1.0,1000,,
73,7,82.0,1.0,1000,,
74,7,83.0,1.0,1000,,
75,7,84.0,1.0,1000,,
76,7,85.0,1.0,1000,,
77,7,86.0,1.0,1000,,
78,7,87.0,1.0,1000,,
79,7,88.0,1.0,1000,,
80,7,89.0,1.0,1000,,
81,7,90.0,1.0,1000,,
82,7,91.0,1.0,1000,,
83,7,92.0,1.0,1000,,
84,7,93.0,1.0,1000,,
85,7,94.0,1.0,1000,,
86,7,95.0,1.0,1000,,
87,7,96.0,1.0,1000,,
88,7,97.0,1.0,1000,,
89,7,98.0,1.0,1000,,
90,7,99.0,1.0,1000,,
91,8,100.0,1.0,1000,,
92,8,101.0,1.0,1000,,
93,8,102.0,1.0,1000,,
94,8,103.0,1.0,1000,,
95,8,104.0,1.0,1000,,
96,8,105.0,1.0,1000,,
97,8,106.0,1.0,1000,,
98,8,107.0,1.0,1000,,
99,8,108.0,1.0,1000,,
100,8,109.0,1.0,1000,,
101,8,110.0,1.0,1000,,
102,8,111.0,1.0,1000,,
103,8,112.0,1.0,1000,,
104,8,113.0,1.0,1000,,
105,8,114.0,1.0,1000,,
106,8,52.0,1.0,1000,,
107,8,89.0,1.0,1000,,
108,8,91.0,1.0,1000,,
109,9,8.0,1.0,1000,,
110,9,27.0,1.0,1000,,
111,9,42.0,1.0,1000,,
112,9,43.0,1.0,1000,,
113,9,60.0,1.0,1000,,
114,9,62.0,1.0,1000,,
115,9,67.0,1.0,1000,,
116,9,78.0,1.0,1000,,
117,9,115.0,1.0,1000,,
118,9,116.0,1.0,1000,,
119,9,117.0,1.0,1000,,
120,9,118.0,1.0,1000,,
121,9,119.0,1.0,1000,,
122,9,120.0,1.0,1000,,
123,9,121.0,1.0,1000,,
124,9,122.0,1.0,1000,,
125,9,123.0,1.0,1000,,
126,9,124.0,1.0,1000,,
127,9,125.0,1.0,1000,,
128,9,126.0,1.0,1000,,
129,9,127.0,1.0,1000,,
130,11,2.0,1.0,1000,,
131,11,137.0,1.0,1000,,
132,11,138.0,1.0,1000,,
133,11,139.0,1.0,1000,,
134,11,140.0,1.0,1000,,
135,11,141.0,1.0,1000,,
136,11,142.0,1.0,1000,,
137,11,143.0,1.0,1000,,
138,11,144.0,1.0,1000,,
139,11,145.0,1.0,1000,,
140,11,146.0,1.0,1000,,
141,11,147.0,1.0,1000,,
142,11,148.0,1.0,1000,,
143,11,149.0,1.0,1000,,
144,11,150.0,1.0,1000,,
145,11,151.0,1.0,1000,,
146,11,24.0,1.0,1000,,
147,11,25.0,1.0,1000,,
148,11,152.0,1.0,1000,,
149,11,27.0,1.0,1000,,
150,11,153.0,1.0,1000,,
151,11,154.0,1.0,1000,,
152,11,155.0,1.0,1000,,
153,11,156.0,1.0,1000,,
154,11,157.0,1.0,1000,,
155,11,44.0,1.0,1000,,
156,11,48.0,1.0,1000,,
157,11,49.0,1.0,1000,,
158,11,55.0,1.0,1000,,
159,11,94.0,1.0,1000,,
160,12,14.0,1.0,1000,,
161,12,25.0,1.0,1000,,
162,12,155.0,1.0,1000,,
163,12,158.0,1.0,1000,,
164,12,159.0,1.0,1000,,
165,12,160.0,1.0,1000,,
166,12,161.0,1.0,1000,,
167,12,162.0,1.0,1000,,
168,12,163.0,1.0,1000,,
169,12,164.0,1.0,1000,,
170,12,165.0,1.0,1000,,
171,12,166.0,1.0,1000,,
172,12,167.0,1.0,1000,,
173,12,168.0,1.0,1000,,
174,12,169.0,1.0,1000,,
175,12,170.0,1.0,1000,,
176,12,171.0,1.0,1000,,
177,12,172.0,1.0,1000,,
178,12,173.0,1.0,1000,,
179,12,46.0,1.0,1000,,
180,12,174.0,1.0,1000,,
181,12,48.0,1.0,1000,,
182,12,175.0,1.0,1000,,
183,12,176.0,1.0,1000,,
184,12,177.0,1.0,1000,,
185,12,56.0,1.0,1000,,
186,12,89.0,1.0,1000,,
187,12,91.0,1.0,1000,,
188,12,97.0,1.0,1000,,
189,12,99.0,1.0,1000,,
190,13,132.0,1.0,1000,,
191,13,27.0,1.0,1000,,
192,13,30.0,1.0,1000,,
193,13,33.0,1.0,1000,,
194,13,41.0,1.0,1000,,
195,13,42.0,1.0,1000,,
196,13,43.0,1.0,1000,,
197,13,178.0,1.0,1000,,
198,13,179.0,1.0,1000,,
199,13,180.0,1.0,1000,,
200,13,181.0,1.0,1000,,
201,13,182.0,1.0,1000,,
202,13,183.0,1.0,1000,,
203,13,184.0,1.0,1000,,
204,13,185.0,1.0,1000,,
205,13,58.0,1.0,1000,,
206,13,57.0,1.0,1000,,
207,13,60.0,1.0,1000,,
208,13,62.0,1.0,1000,,
209,13,66.0,1.0,1000,,
210,13,67.0,1.0,1000,,
211,13,116.0,1.0,1000,,
212,13,124.0,1.0,1000,,
213,13,126.0,1.0,1000,,
214,13,127.0,1.0,1000,,
215,14,25.0,1.0,1000,,
216,14,154.0,1.0,1000,,
217,14,27.0,1.0,1000,,
218,14,157.0,1.0,1000,,
219,14,44.0,1.0,1000,,
220,14,48.0,1.0,1000,,
221,14,186.0,1.0,1000,,
222,14,187.0,1.0,1000,,
223,14,188.0,1.0,1000,,
224,14,189.0,1.0,1000,,
225,14,190.0,1.0,1000,,
226,14,191.0,1.0,1000,,
227,14,192.0,1.0,1000,,
228,14,193.0,1.0,1000,,
229,14,194.0,1.0,1000,,
230,14,195.0,1.0,1000,,
231,14,196.0,1.0,1000,,
232,14,197.0,1.0,1000,,
233,14,198.0,1.0,1000,,
234,14,199.0,1.0,1000,,
235,14,200.0,1.0,1000,,
236,14,201.0,1.0,1000,,
237,14,202.0,1.0,1000,,
238,14,88.0,1.0,1000,,
239,14,89.0,1.0,1000,,
240,14,91.0,1.0,1000,,
241,15,203.0,1.0,1000,,
242,15,204.0,1.0,1000,,
243,15,205.0,1.0,1000,,
244,15,206.0,1.0,1000,,
245,15,207.0,1.0,1000,,
246,15,48.0,1.0,1000,,
247,15,187.0,1.0,1000,,
248,15,25.0,1.0,1000,,
249,15,27.0,1.0,1000,,
250,16,193.0,1.0,1000,,
251,16,163.0,1.0,1000,,
252,16,203.0,1.0,1000,,
253,16,204.0,1.0,1000,,
254,16,187.0,1.0,1000,,
255,16,14.0,1.0,1000,,
256,16,208.0,1.0,1000,,
257,16,209.0,1.0,1000,,
258,16,210.0,1.0,1000,,
259,16,211.0,1.0,1000,,
260,16,48.0,1.0,1000,,
261,16,212.0,1.0,1000,,
262,16,27.0,1.0,1000,,
263,17,14.0,1.0,1000,,
264,17,25.0,1.0,1000,,
265,17,155.0,1.0,1000,,
