,0,0.1,1,1000,24,1.1
0,0.0,1.0,1,1000,,
1,0.0,2.0,1,1000,,
2,0.0,3.0,1,1000,,
3,0.0,4.0,1,1000,,
4,0.0,5.0,1,1000,,
5,0.0,6.0,1,1000,,
6,0.0,7.0,1,1000,,
7,0.0,8.0,1,1000,,
8,0.0,9.0,1,1000,,
9,0.0,10.0,1,1000,,
10,0.0,11.0,1,1000,,
11,0.0,12.0,1,1000,,
12,0.0,13.0,1,1000,,
13,0.0,14.0,1,1000,,
14,0.0,15.0,1,1000,,
15,0.0,16.0,1,1000,,
16,0.0,17.0,1,1000,,
17,0.0,18.0,1,1000,,
18,0.0,19.0,1,1000,,
19,0.0,20.0,1,1000,,
20,2.0,32.0,1,1000,,
21,2.0,33.0,1,1000,,
22,2.0,34.0,1,1000,,
23,2.0,35.0,1,1000,,
24,2.0,36.0,1,1000,,
25,2.0,37.0,1,1000,,
26,2.0,38.0,1,1000,,
27,2.0,27.0,1,1000,,
28,2.0,29.0,1,1000,,
29,2.0,30.0,1,1000,,
30,2.0,31.0,1,1000,,
31,3.0,38.0,1,1000,,
32,3.0,39.0,1,1000,,
33,3.0,40.0,1,1000,,
34,3.0,41.0,1,1000,,
35,3.0,42.0,1,1000,,
36,3.0,43.0,1,1000,,
37,3.0,27.0,1,1000,,
38,3.0,31.0,1,1000,,
39,4.0,8.0,1,1000,,
40,4.0,44.0,1,1000,,
41,4.0,45.0,1,1000,,
42,4.0,46.0,1,1000,,
43,4.0,47.0,1,1000,,
44,4.0,48.0,1,1000,,
45,4.0,49.0,1,1000,,
46,4.0,50.0,1,1000,,
47,4.0,51.0,1,1000,,
48,4.0,14.0,1,1000,,
49,4.0,52.0,1,1000,,
50,4.0,53.0,1,1000,,
51,4.0,54.0,1,1000,,
52,4.0,55.0,1,1000,,
53,4.0,25.0,1,1000,,
54,4.0,56.0,1,1000,,
55,5.0,10.0,1,1000,,
56,5.0,27.0,1,1000,,
57,5.0,42.0,1,1000,,
58,5.0,43.0,1,1000,,
59,5.0,57.0,1,1000,,
60,5.0,58.0,1,1000,,
61,5.0,59.0,1,1000,,
62,5.0,60.0,1,1000,,
63,5.0,61.0,1,1000,,
64,5.0,62.0,1,1000,,
65,5.0,63.0,1,1000,,
66,5.0,64.0,1,1000,,
67,5.0,65.0,1,1000,,
68,5.0,66.0,1,1000,,
69,5.0,67.0,1,1000,,
70,5.0,68.0,1,1000,,
71,5.0,69.0,1,1000,,
72,5.0,70.0,1,1000,,
73,5.0,71.0,1,1000,,
74,5.0,72.0,1,1000,,
75,5.0,73.0,1,1000,,
76,5.0,74.0,1,1000,,
77,6.0,42.0,1,1000,,
78,6.0,75.0,1,1000,,
79,6.0,76.0,1,1000,,
80,6.0,77.0,1,1000,,
81,6.0,78.0,1,1000,,
82,6.0,43.0,1,1000,,
83,6.0,79.0,1,1000,,
84,6.0,80.0,1,1000,,
85,7.0,3.0,1,1000,,
86,7.0,7.0,1,1000,,
87,7.0,10.0,1,1000,,
88,7.0,16.0,1,1000,,
89,7.0,27.0,1,1000,,
90,7.0,48.0,1,1000,,
91,7.0,52.0,1,1000,,
92,7.0,81.0,1,1000,,
93,7.0,82.0,1,1000,,
94,7.0,83.0,1,1000,,
95,7.0,84.0,1,1000,,
96,7.0,85.0,1,1000,,
97,7.0,86.0,1,1000,,
98,7.0,87.0,1,1000,,
99,7.0,88.0,1,1000,,
100,7.0,89.0,1,1000,,
101,7.0,90.0,1,1000,,
102,7.0,91.0,1,1000,,
103,7.0,92.0,1,1000,,
104,7.0,93.0,1,1000,,
105,7.0,94.0,1,1000,,
106,7.0,95.0,1,1000,,
107,7.0,96.0,1,1000,,
108,7.0,97.0,1,1000,,
109,7.0,98.0,1,1000,,
110,7.0,99.0,1,1000,,
111,8.0,100.0,1,1000,,
112,8.0,101.0,1,1000,,
113,8.0,102.0,1,1000,,
114,8.0,103.0,1,1000,,
115,8.0,104.0,1,1000,,
116,8.0,105.0,1,1000,,
117,8.0,106.0,1,1000,,
118,8.0,107.0,1,1000,,
119,8.0,108.0,1,1000,,
120,8.0,109.0,1,1000,,
121,8.0,110.0,1,1000,,
122,8.0,111.0,1,1000,,
123,8.0,112.0,1,1000,,
124,8.0,113.0,1,1000,,
125,8.0,114.0,1,1000,,
126,8.0,52.0,1,1000,,
127,8.0,89.0,1,1000,,
128,8.0,91.0,1,1000,,
129,9.0,8.0,1,1000,,
130,9.0,27.0,1,1000,,
131,9.0,42.0,1,1000,,
132,9.0,43.0,1,1000,,
133,9.0,60.0,1,1000,,
134,9.0,62.0,1,1000,,
135,9.0,67.0,1,1000,,
136,9.0,78.0,1,1000,,
137,9.0,115.0,1,1000,,
138,9.0,116.0,1,1000,,
139,9.0,117.0,1,1000,,
140,9.0,118.0,1,1000,,
141,9.0,119.0,1,1000,,
142,9.0,120.0,1,1000,,
143,9.0,121.0,1,1000,,
144,9.0,122.0,1,1000,,
145,9.0,123.0,1,1000,,
146,9.0,124.0,1,1000,,
147,9.0,125.0,1,1000,,
148,9.0,126.0,1,1000,,
149,9.0,127.0,1,1000,,
150,10.0,128.0,1,1000,,
151,10.0,129.0,1,1000,,
152,10.0,130.0,1,1000,,
153,10.0,131.0,1,1000,,
154,10.0,132.0,1,1000,,
155,10.0,133.0,1,1000,,
156,10.0,67.0,1,1000,,
157,10.0,134.0,1,1000,,
158,10.0,8.0,1,1000,,
159,10.0,41.0,1,1000,,
160,10.0,135.0,1,1000,,
161,10.0,43.0,1,1000,,
162,10.0,136.0,1,1000,,
163,10.0,27.0,1,1000,,
164,10.0,62.0,1,1000,,
165,10.0,31.0,1,1000,,
166,11.0,2.0,1,1000,,
167,11.0,137.0,1,1000,,
168,11.0,138.0,1,1000,,
169,11.0,139.0,1,1000,,
170,11.0,140.0,1,1000,,
171,11.0,141.0,1,1000,,
172,11.0,142.0,1,1000,,
173,11.0,143.0,1,1000,,
174,11.0,144.0,1,1000,,
175,11.0,145.0,1,1000,,
176,11.0,146.0,1,1000,,
177,11.0,147.0,1,1000,,
178,11.0,148.0,1,1000,,
179,11.0,149.0,1,1000,,
180,11.0,150.0,1,1000,,
181,11.0,151.0,1,1000,,
182,11.0,24.0,1,1000,,
183,11.0,25.0,1,1000,,
184,11.0,152.0,1,1000,,
185,11.0,27.0,1,1000,,
186,11.0,153.0,1,1000,,
187,11.0,154.0,1,1000,,
188,11.0,155.0,1,1000,,
189,11.0,156.0,1,1000,,
190,11.0,157.0,1,1000,,
191,11.0,44.0,1,1000,,
192,11.0,48.0,1,1000,,
193,11.0,49.0,1,1000,,
194,11.0,55.0,1,1000,,
195,11.0,94.0,1,1000,,
196,12.0,14.0,1,1000,,
197,12.0,25.0,1,1000,,
198,12.0,155.0,1,1000,,
199,12.0,158.0,1,1000,,
200,12.0,159.0,1,1000,,
201,12.0,160.0,1,1000,,
202,12.0,161.0,1,1000,,
203,12.0,162.0,1,1000,,
204,12.0,163.0,1,1000,,
205,12.0,164.0,1,1000,,
206,12.0,165.0,1,1000,,
207,12.0,166.0,1,1000,,
208,12.0,167.0,1,1000,,
209,12.0,168.0,1,1000,,
210,12.0,169.0,1,1000,,
211,12.0,170.0,1,1000,,
212,12.0,171.0,1,1000,,
213,12.0,172.0,1,1000,,
214,12.0,173.0,1,1000,,
215,12.0,46.0,1,1000,,
216,12.0,174.0,1,1000,,
217,12.0,48.0,1,1000,,
218,12.0,175.0,1,1000,,
219,12.0,176.0,1,1000,,
220,12.0,177.0,1,1000,,
221,12.0,56.0,1,1000,,
222,12.0,89.0,1,1000,,
223,12.0,91.0,1,1000,,
224,12.0,97.0,1,1000,,
225,12.0,99.0,1,1000,,
226,13.0,132.0,1,1000,,
227,13.0,27.0,1,1000,,
228,13.0,30.0,1,1000,,
229,13.0,33.0,1,1000,,
230,13.0,41.0,1,1000,,
231,13.0,42.0,1,1000,,
232,13.0,43.0,1,1000,,
233,13.0,178.0,1,1000,,
234,13.0,179.0,1,1000,,
235,13.0,180.0,1,1000,,
236,13.0,181.0,1,1000,,
237,13.0,182.0,1,1000,,
238,13.0,183.0,1,1000,,
239,13.0,184.0,1,1000,,
240,13.0,185.0,1,1000,,
241,13.0,58.0,1,1000,,
242,13.0,57.0,1,1000,,
243,13.0,60.0,1,1000,,
244,13.0,62.0,1,1000,,
245,13.0,66.0,1,1000,,
246,13.0,67.0,1,1000,,
247,13.0,116.0,1,1000,,
248,13.0,124.0,1,1000,,
249,13.0,126.0,1,1000,,
250,13.0,127.0,1,1000,,
251,14.0,25.0,1,1000,,
252,14.0,154.0,1,1000,,
253,14.0,27.0,1,1000,,
254,14.0,157.0,1,1000,,
255,14.0,44.0,1,1000,,
256,14.0,48.0,1,1000,,
257,14.0,186.0,1,1000,,
258,14.0,187.0,1,1000,,
259,14.0,188.0,1,1000,,
260,14.0,189.0,1,1000,,
