,0,1,1.1,1000,0.1
0,0,2,1.0,1000,
1,0,3,1.0,1000,
2,0,4,1.0,1000,
3,0,5,1.0,1000,
4,0,6,1.0,1000,
5,1,10,1.0,1000,
6,1,11,1.0,1000,
7,1,12,1.0,1000,
8,1,13,1.0,1000,
9,1,14,1.0,1000,
10,1,15,1.0,1000,
11,1,16,1.0,1000,
12,1,17,1.0,1000,
13,1,18,1.0,1000,
14,1,19,1.0,1000,
15,1,21,1.0,1000,
16,1,22,1.0,1000,
17,1,23,1.0,1000,
18,2,24,1.0,1000,
19,2,25,1.0,1000,
20,2,26,1.0,1000,
21,2,27,1.0,1000,
22,2,28,1.0,1000,
23,2,31,1.0,1000,
24,2,32,1.0,1000,
25,2,33,1.0,1000,
26,2,1,1.0,1000,
27,2,34,1.0,1000,
28,3,35,1.0,1000,
29,3,36,1.0,1000,
30,3,37,1.0,1000,
31,3,38,1.0,1000,
32,3,39,1.0,1000,
33,3,40,1.0,1000,
34,3,14,1.0,1000,
35,3,41,1.0,1000,
36,3,42,1.0,1000,
37,3,44,1.0,1000,
38,3,45,1.0,1000,
39,3,46,1.0,1000,
40,3,48,1.0,1000,
41,3,49,1.0,1000,
42,3,50,1.0,1000,
43,3,51,1.0,1000,
44,3,52,1.0,1000,
45,3,53,1.0,1000,
46,3,54,1.0,1000,
47,3,55,1.0,1000,
48,3,56,1.0,1000,
49,3,57,1.0,1000,
50,3,58,1.0,1000,
51,3,59,1.0,1000,
52,3,60,1.0,1000,
53,3,61,1.0,1000,
54,3,62,1.0,1000,
55,3,63,1.0,1000,
56,3,65,1.0,1000,
57,3,66,1.0,1000,
58,3,67,1.0,1000,
59,3,68,1.0,1000,
60,3,69,1.0,1000,
61,3,70,1.0,1000,
62,3,71,1.0,1000,
63,3,72,1.0,1000,
64,3,73,1.0,1000,
65,3,2,1.0,1000,
66,3,74,1.0,1000,
67,3,75,1.0,1000,
68,3,6,1.0,1000,
69,3,76,1.0,1000,
70,3,77,1.0,1000,
71,4,78,1.0,1000,
72,4,29,1.0,1000,
73,4,79,1.0,1000,
74,4,80,1.0,1000,
75,4,6,1.0,1000,
76,5,84,1.0,1000,
77,5,85,1.0,1000,
78,5,86,1.0,1000,
79,5,87,1.0,1000,
80,5,89,1.0,1000,
81,5,90,1.0,1000,
82,5,91,1.0,1000,
